time[s],q_0[mm],q_2[mm]
12.4900000000,-2.9811510000,0.0000000000
12.5000000000,-3.0000000000,0.0000000000
12.5100000000,-3.0188490000,0.0000000000
12.5200000000,-3.0376980000,0.0000000000
12.5300000000,-3.0565450000,0.0000000000
12.5400000000,-3.0753900000,0.0000000000
12.5500000000,-3.0942320000,0.0000000000
12.5600000000,-3.1130710000,0.0000000000
12.5700000000,-3.1319040000,0.0000000000
12.5800000000,-3.1507330000,0.0000000000
12.5900000000,-3.1695560000,0.0000000000
12.6000000000,-3.1883720000,0.0000000000
12.6100000000,-3.2071800000,0.0000000000
12.6200000000,-3.2259800000,0.0000000000
12.6300000000,-3.2447720000,0.0000000000
12.6400000000,-3.2635540000,0.0000000000
12.6500000000,-3.2823250000,0.0000000000
12.6600000000,-3.3010850000,0.0000000000
12.6700000000,-3.3198330000,0.0000000000
12.6800000000,-3.3385690000,0.0000000000
12.6900000000,-3.3572910000,0.0000000000
12.7000000000,-3.3760000000,0.0000000000
12.7100000000,-3.3946930000,0.0000000000
12.7200000000,-3.4133710000,0.0000000000
12.7300000000,-3.4320320000,0.0000000000
12.7400000000,-3.4506770000,0.0000000000
12.7500000000,-3.4693030000,0.0000000000
12.7600000000,-3.4879110000,0.0000000000
12.7700000000,-3.5065000000,0.0000000000
12.7800000000,-3.5250690000,0.0000000000
12.7900000000,-3.5436170000,0.0000000000
12.8000000000,-3.5621440000,0.0000000000
12.8100000000,-3.5806480000,0.0000000000
12.8200000000,-3.5991300000,0.0000000000
12.8300000000,-3.6175880000,0.0000000000
12.8400000000,-3.6360210000,0.0000000000
12.8500000000,-3.6544300000,0.0000000000
12.8600000000,-3.6728120000,0.0000000000
12.8700000000,-3.6911680000,0.0000000000
12.8800000000,-3.7094970000,0.0000000000
12.8900000000,-3.7277980000,0.0000000000
12.9000000000,-3.7460700000,0.0000000000
12.9100000000,-3.7643120000,0.0000000000
12.9200000000,-3.7825250000,0.0000000000
12.9300000000,-3.8007060000,0.0000000000
12.9400000000,-3.8188560000,0.0000000000
12.9500000000,-3.8369730000,0.0000000000
12.9600000000,-3.8550580000,0.0000000000
12.9700000000,-3.8731090000,0.0000000000
12.9800000000,-3.8911250000,0.0000000000
12.9900000000,-3.9091060000,0.0000000000
13.0000000000,-3.9270510000,0.0000000000
13.0100000000,-3.9449600000,0.0000000000
13.0200000000,-3.9628310000,0.0000000000
13.0300000000,-3.9806640000,0.0000000000
13.0400000000,-3.9984590000,0.0000000000
13.0500000000,-4.0162140000,0.0000000000
13.0600000000,-4.0339290000,0.0000000000
13.0700000000,-4.0516030000,0.0000000000
13.0800000000,-4.0692360000,0.0000000000
13.0900000000,-4.0868260000,0.0000000000
13.1000000000,-4.1043740000,0.0000000000
13.1100000000,-4.1218780000,0.0000000000
13.1200000000,-4.1393370000,0.0000000000
13.1300000000,-4.1567520000,0.0000000000
13.1400000000,-4.1741210000,0.0000000000
13.1500000000,-4.1914440000,0.0000000000
13.1600000000,-4.2087190000,0.0000000000
13.1700000000,-4.2259470000,0.0000000000
13.1800000000,-4.2431270000,0.0000000000
13.1900000000,-4.2602570000,0.0000000000
13.2000000000,-4.2773380000,0.0000000000
13.2100000000,-4.2943680000,0.0000000000
13.2200000000,-4.3113470000,0.0000000000
13.2300000000,-4.3282750000,0.0000000000
13.2400000000,-4.3451500000,0.0000000000
13.2500000000,-4.3619710000,0.0000000000
13.2600000000,-4.3787400000,0.0000000000
13.2700000000,-4.3954530000,0.0000000000
13.2800000000,-4.4121120000,0.0000000000
13.2900000000,-4.4287150000,0.0000000000
